Utterance,Emotion_anger,Emotion_disgust,Emotion_fear,Emotion_joy,Emotion_neutral,Emotion_sadness,Emotion_surprise,Sentiment_negative,Sentiment_neutral,Sentiment_positive
So Im gonna go through the hotel and see if theres any other weddings going on.,False,False,False,False,True,False,False,False,True,False
Okay. Oh but dont tell them Monicas pregnant because they frown on that.,False,False,False,False,True,False,False,False,True,False
"Whats all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",True,False,False,False,False,False,False,True,False,False
"Ross, we can handle this.",False,False,False,False,True,False,False,False,True,False
"Well, apparently not, and I cant just stand by and watch two people I care about very much be hurt over something that is so silly.",False,False,False,False,False,True,False,True,False,False
"I mean, enough of the silliness!",True,False,False,False,False,False,False,True,False,False
"Well, why dont you tell her to stop being silly!",True,False,False,False,False,False,False,True,False,False
Okay-okay!,True,False,False,False,False,False,False,True,False,False
"Two very good points, look Ive known you both a long time, and Ive never seen either of you one/millionth as happy as youve been since youve got together.",False,False,False,False,False,True,False,True,False,False
Do you really want to throw that all away over a room?,False,False,False,False,False,True,False,True,False,False
That is so silly.,False,False,False,True,False,False,False,False,False,True
"Now wh-what is more important, love or silliness?",False,False,False,False,True,False,False,False,True,False
"Well, we are fond of the silliness, but we also have a soft spot for the love.",False,False,False,False,True,False,False,False,True,False
Love is the best medicine.,False,False,False,True,False,False,False,False,False,True
Thats laughter.,False,False,False,True,False,False,False,False,False,True
Why do you do it?,False,False,False,False,True,False,False,False,True,False
I dont know.,False,False,False,False,True,False,False,False,True,False
"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",False,False,False,False,True,False,False,False,True,False
"Yeah, I do.",False,False,False,False,True,False,False,False,True,False
"And Mon, you wanna live with Chandler, dont ya?",False,False,False,False,True,False,False,False,True,False
Yes.,False,False,False,False,True,False,False,False,True,False
Good! A verbal contract is binding in the state of New York!,False,False,False,True,False,False,False,False,False,True
"But I don't. Me, Phoebe.",False,False,False,False,True,False,False,False,True,False
"Well, I'm not I'm not at all surprised they feel that way.",False,False,False,False,True,False,False,False,True,False
"You're not? See, that's why you're so great!",False,False,False,False,False,False,True,False,False,True
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",False,False,False,False,True,False,False,False,True,False
"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",True,False,False,False,False,False,False,True,False,False
Define me!,True,False,False,False,False,False,False,True,False,False
"Love me, I need love!",True,False,False,False,False,False,False,True,False,False
Have you really done this before?,False,False,False,False,False,False,True,False,False,True
Yeah!,False,False,False,True,False,False,False,False,False,True
"You just take a big, big swing.",False,False,False,False,True,False,False,False,True,False
"Now, dont hold back.",False,False,False,False,True,False,False,False,True,False
Hey!,False,False,False,True,False,False,False,False,False,True
Hey-hey-hey!,False,False,False,True,False,False,False,False,False,True
What are you doing?,False,False,False,False,True,False,False,False,True,False
Were just celebrating that Joey got his health insurance back.,False,False,False,True,False,False,False,False,False,True
"Oh, all right.",False,False,False,False,True,False,False,False,True,False
"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",False,False,False,True,False,False,False,False,False,True
Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,False,False,False,True,False,False,False,False,False,True
Okay!,False,False,False,True,False,False,False,False,False,True
Bye!,False,False,False,False,True,False,False,False,True,False
Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,True,False,False,False,False,False,False,True,False,False
"Hey, Joey, could you pass the cheese?",False,False,False,False,True,False,False,False,True,False
"Listen uh, Id prefer it if you didnt call me Joey.",False,False,False,False,True,False,False,False,True,False
"Since I dont know anyone here, I thought itd be cool to try out a cool work nickname.",False,False,False,False,True,False,False,False,True,False
"Hey, dragon! Heres your tips from Monday and Tuesday.",False,False,False,False,True,False,False,False,True,False
Theres like-theres like 300 bucks in this one!,False,False,False,False,False,False,True,True,False,False
"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",False,False,False,False,True,False,False,False,True,False
Could the waiters gather around to hear tonights specials?,False,False,False,False,True,False,False,False,True,False
"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bagWhy is nobody writing these down?",False,False,False,False,True,False,False,False,True,False
Because we can remember them.,False,False,False,False,True,False,False,False,True,False
Because your all gonna make up fake specials and make me cook them like you did the other night?,True,False,False,False,False,False,False,True,False,False
Hey. When you guys were kids and you played,False,False,False,False,True,False,False,False,True,False
I was always Joanne.,False,False,False,False,True,False,False,False,True,False
"Question. Was ah, Egg the Gellers! the war cry of your neighbourhood?",False,False,False,False,True,False,False,False,True,False
Ewww! Oh! Its the Mattress King!,False,True,False,False,False,False,False,True,False,False
Dont look honey. Change the channel! Change the channel!,False,True,False,False,False,False,False,True,False,False
"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",False,False,False,True,False,False,False,False,False,True
What a wank!,True,False,False,False,False,False,False,True,False,False
"Oh, I cannot believe hes using our divorce to sell mattresses.",True,False,False,False,False,False,False,True,False,False
I know!,True,False,False,False,False,False,False,True,False,False
"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",True,False,False,False,False,False,False,True,False,False
And Im appalled for you by the way.,True,False,False,False,False,False,False,True,False,False
"You had to do it, didnt you? You couldnt just leave it alone.",False,False,False,False,False,True,False,True,False,False
Four percent. Okay. I tip more than that when theres a bug in my food.,False,True,False,False,False,False,False,True,False,False
"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",True,False,False,False,False,False,False,True,False,False
"Yeah, Im gonna go to a doctor who went to school in a mini-mall.",False,True,False,False,False,False,False,True,False,False
"Hey Pheebs, what are you doing?",False,False,False,False,True,False,False,False,True,False
"Im, Im freaking out!",False,False,True,False,False,False,False,True,False,False
Monica kinda trusted me with something and she shouldnt have!,False,False,True,False,False,False,False,True,False,False
"All right, I havent lived here in a while, so I have to ask you something.",False,False,False,False,True,False,False,False,True,False
Does Monica still turn on the lights in her bedroom?,False,False,False,False,True,False,False,False,True,False
Um. yeah.,False,False,False,False,True,False,False,False,True,False
I am,False,False,False,False,True,False,False,False,True,False
"All right, look, heres the bottom line Ross, this is fixable, if we act fast, okay.",False,False,False,False,True,False,False,False,True,False
"So, Ill invite him to brunch tomorrow and you can make nice.",False,False,False,False,True,False,False,False,True,False
"Look, honey, I have tried to make nice, it doesnt work.",True,False,False,False,False,False,False,True,False,False
"Okay, look, Ross, I realise that my Father is difficult, but thats why you have got to be the bigger man here.",False,False,False,False,True,False,False,False,True,False
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldnt make any difference, except that I could pick your Father up and say Like me!",True,False,False,False,False,False,False,True,False,False
Like me tiny doctor!,True,False,False,False,False,False,False,True,False,False
"Okay, well cant you just try it one more time Ross? For me? For me?",False,False,False,False,False,True,False,True,False,False
"Rachel one brunch is not gonna solve anything. You gotta face it, okay were never gonna get along.",True,False,False,False,False,False,False,True,False,False
"Okay, well you are just gonna have too, okay.",True,False,False,False,False,False,False,True,False,False
"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I dont wanna have to have a separate room for you too!",True,False,False,False,False,False,False,True,False,False
"Okay, okay, okay.  Ill get the bagels.",False,False,False,False,True,False,False,False,True,False
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",False,False,False,False,True,False,False,False,True,False
"All right, then you'd better show me some of that too then.",False,False,False,False,True,False,False,False,True,False
"Okay, it's missing something. Ooh, I know! Umm, okay.",False,False,False,False,True,False,False,False,True,False
Really? A purse?,False,False,False,False,False,False,True,False,False,True
It's not a purse! It's a shoulder bag.,True,False,False,False,False,False,False,True,False,False
It looks like a women's purse.,False,False,False,False,True,False,False,False,True,False
"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",False,False,False,False,True,False,False,False,True,False
"See look,",False,False,False,False,True,False,False,False,True,False
Exactly! Unisex!,False,False,False,False,True,False,False,False,True,False
Maybe you need sex.,False,False,False,False,True,False,False,False,True,False
No! No Joey! U-N-I-sex.,False,False,False,True,False,False,False,False,False,True
"Well, I ain't gonna say no to that.",False,False,False,False,True,False,False,False,True,False
"So, um, have you told your parents?",False,False,False,False,True,False,False,False,True,False
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",False,False,False,False,True,False,False,False,True,False
Here you go.,False,False,False,False,True,False,False,False,True,False
"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",False,False,False,False,True,False,False,False,True,False
"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",False,False,False,False,False,True,False,True,False,False
I love you Phoebe.,False,False,False,True,False,False,False,False,False,True
So your brother's straigh huh? Seriously.,False,False,False,False,False,False,True,False,False,True
"I just came over to drop offnothing. So that weekend kinda sucked, huh?",False,False,False,False,True,False,False,False,True,False
"Yeah, it did.",False,False,False,True,False,False,False,False,False,True
"So, I guess this is over.",False,False,False,False,False,True,False,True,False,False
"Well, y'know, you and me, it had to end sometime.",False,False,False,False,False,True,False,True,False,False
"Why, exactly?",False,False,False,False,False,False,True,True,False,False
"Because of the weekend, we had a fight.",False,False,False,False,False,True,False,True,False,False
Chandler that's crazy!,False,False,False,False,False,False,True,False,False,True
If you give up every time you'd have a fight with someone you'd never be with anyone longer thanOhhh!,True,False,False,False,False,False,False,True,False,False
"So, this isn't over?",False,False,False,False,True,False,False,False,True,False
You are so cute!,False,False,False,True,False,False,False,False,False,True
No.,False,False,False,True,False,False,False,False,False,True
"No, it was a fight.",False,False,False,False,True,False,False,False,True,False
You deal with it and move on!,False,False,False,True,False,False,False,False,False,True
It's nothing to freak out about.,False,False,False,False,True,False,False,False,True,False
Really? Okay. Great!,False,False,False,True,False,False,False,False,False,True
"Ohh, welcome to an adult relationship!",False,False,False,True,False,False,False,False,False,True
We're in a relationship?,False,False,False,False,False,False,True,True,False,False
I'm afraid so.,False,False,False,False,True,False,False,False,True,False
Hi!,False,False,False,True,False,False,False,False,False,True
So you like the short hair better.,False,False,False,False,True,False,False,False,True,False
What? YetiI mean Danny?,False,False,False,False,True,False,False,False,True,False
Can I tell you a little secret?,False,False,False,False,True,False,False,False,True,False
I want to keep one.,False,False,False,False,True,False,False,False,True,False
"Ohh, I'm gonna be on the news!",False,False,False,True,False,False,False,False,False,True
What? Honey.,False,False,False,False,True,False,False,False,True,False
"Oh, I am, my side still hurts from when you crashed into me yesterday.",False,False,False,False,True,False,False,False,True,False
"Oh God, Im so sorry.",False,False,False,False,False,True,False,True,False,False
I know.,False,False,False,False,True,False,False,False,True,False
Ow!!,True,False,False,False,False,False,False,True,False,False
Oh God!,False,False,False,False,False,False,True,True,False,False
"Hey, you guys! Guess what?",False,False,False,True,False,False,False,False,False,True
Got a job on a river boat?,False,False,False,False,True,False,False,False,True,False
"Y'know what I didnt wear this suit for a year because you hated it. Well, guess what? Youre not my girlfriend anymore so...",True,False,False,False,False,False,False,True,False,False
"Oh I see, so this suit is making a point.",False,False,False,False,True,False,False,False,True,False
"Now that youre on youre own, youre free to look as stupid as you like.",True,False,False,False,False,False,False,True,False,False
You like it right?,False,False,False,False,True,False,False,False,True,False
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! Im kidding!,False,False,False,False,True,False,False,False,True,False
"Yeah, come here!",False,False,False,False,True,False,False,False,True,False
What-what was it you were gonna tell us?,False,False,False,False,True,False,False,False,True,False
Yeah. Oh! Was how you invented the cotton gin?!,False,False,False,False,True,False,False,False,True,False
"Okay, good bye!",True,False,False,False,False,False,False,True,False,False
Hey I got one! I got one!,False,False,False,True,False,False,False,False,False,True
"Oh uh, up or down?",False,False,False,False,True,False,False,False,True,False
Oh down please.  I-I hate to be a ball buster can I just do it?,False,False,False,True,False,False,False,False,False,True
Could you press up too please?,False,False,False,False,True,False,False,False,True,False
Sure! I feel so bad for you. I broke my leg once too.,False,False,False,False,False,True,False,True,False,False
Oh yeah? Howd yours happen?,False,False,False,False,True,False,False,False,True,False
"Well, its a long story.",False,False,False,False,True,False,False,False,True,False
Its kind of embarrassing.,False,False,False,False,True,False,False,False,True,False
Lets just say there was a typographical error with a sex manual.,False,False,False,True,False,False,False,False,False,True
How about you?,False,False,False,False,True,False,False,False,True,False
Car accident.,False,False,False,False,False,True,False,True,False,False
"Oh, let me guess some idiot on a cell phone wasnt paying attention?",False,False,False,False,True,False,False,False,True,False
"Yeah. Me.  Oh hey, thats me.  Hey uh, I take it youre just visiting someone.",False,False,False,False,True,False,False,False,True,False
"Uh-huh, yeah.",False,False,False,False,True,False,False,False,True,False
"Well umm, if you have sometime yknow and maybe you might want to visit someone else",False,False,False,False,True,False,False,False,True,False
Oh yeah! I-I would like that.,False,False,False,True,False,False,False,False,False,True
Wait! What?! No!! Elevator!! No!,True,False,False,False,False,False,False,True,False,False
"Uh, you gotta press the button.",False,False,False,False,True,False,False,False,True,False
"Oh we did, and you still have all your lamps.",False,False,False,False,True,False,False,False,True,False
"Oh, I didn't factor in the room tax.",False,False,False,False,False,False,True,True,False,False
"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",False,False,False,False,True,False,False,False,True,False
Oh my god.,False,False,False,False,False,False,True,False,False,True
There's something new in the bowl.,False,False,False,False,False,False,True,False,False,True
"Look, we have enough, just walk away.",False,False,True,False,False,False,False,True,False,False
"No, but I want...I want the pinecones!",False,False,False,True,False,False,False,False,False,True
There's a forest right outside.,False,False,False,False,True,False,False,False,True,False
It's not the same.,False,False,False,False,True,False,False,False,True,False
"Ok, go quick!",False,False,True,False,False,False,False,True,False,False
Thank you for a delightful stay.,False,False,False,True,False,False,False,False,False,True
"Oh, my maple candy!",False,False,False,True,False,False,False,False,False,True
"Oh my God, what happened?",False,False,False,False,False,False,True,True,False,False
"Oh. God, crazy Chandler. He spun me...off...the...bed!",False,False,False,True,False,False,False,False,False,True
Wow! Spinning that sounds like fun.,False,False,False,True,False,False,False,False,False,True
"Oh,  I wish. No, you know he was just trying Ross's Hug and Roll thing.",False,False,False,True,False,False,False,False,False,True
Ross's what?,False,False,False,False,False,False,True,False,False,True
"You know what, where he hugs you and kinda rolls you away and... Oh... my....God.",False,True,False,False,False,False,False,True,False,False
"Whoops.  Oh, hey, do you need help with that?",False,False,False,False,True,False,False,False,True,False
"Yes!! Yes! Yes! Yes!! Thats my Dad, thats Frank! Yeah! Im sorry Im getting all flingy.",False,False,False,False,False,False,True,False,False,True
"Take it easy--if you want, theres cookies on the counter, or, or--sangria!  I can make sangria!",False,False,False,True,False,False,False,False,False,True
"No-no, sorry. Cookies are good, thanks.",False,False,False,False,True,False,False,False,True,False
"Well, so, umm, anyway umm, Ive been, Ive been looking for my Father, and umm, have you heard from him, or seen him?",False,False,False,False,True,False,False,False,True,False
"Oh no, I-Im sorry, I guess we lost track of everybody after high school.",False,False,False,False,False,True,False,True,False,False
"Oh, okay. Well, so tell me everything about my parents. Everything.",False,False,False,False,True,False,False,False,True,False
"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",False,False,False,False,True,False,False,False,True,False
"Oh, what? What was it?",False,False,False,False,False,False,True,False,False,True
The three losers.,False,False,False,False,False,True,False,True,False,False
"Oh, poor Lily.",False,False,False,False,False,True,False,True,False,False
"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.",False,False,False,False,False,True,False,True,False,False
"Yeah, no, it was great.",False,False,False,True,False,False,False,False,False,True
"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",False,False,False,False,False,True,False,True,False,False
Go back in time and listen to Phoebe!,True,False,False,False,False,False,False,True,False,False
"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",False,False,False,False,True,False,False,False,True,False
Ok.,False,False,False,False,True,False,False,False,True,False
It worked!,False,False,False,False,False,False,True,False,False,True
Oh  oh no just stopped to throw up a little bit.,False,False,False,False,False,True,False,True,False,False
"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.",False,False,False,False,False,True,False,True,False,False
"Umm, she Rach, not it, she.",False,False,False,False,True,False,False,False,True,False
"Yeah, I’m not so sure.",False,False,False,False,True,False,False,False,True,False
"Oh my god, I am losing my mind.",True,False,False,False,False,False,False,True,False,False
"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",True,False,False,False,False,False,False,True,False,False
"Well, youre not.",False,False,False,False,True,False,False,False,True,False
"Oh, its so easy for you I mean, youre not married, you get to have sex with who ever you want!",False,True,False,False,False,False,False,True,False,False
"Yeah I can!  And dont think I dont, because I do! I mean all the time, you betcha!",False,False,False,True,False,False,False,False,False,True
"Monica. Youve, youve done it right?",False,False,False,False,False,False,True,False,False,True
"Of course I have! What do you think, Im some 30 year old virgin?",True,False,False,False,False,False,False,True,False,False
Oh my God! Youre a 30 year old virgin!,False,False,False,False,False,False,True,True,False,False
"Say it louder, I dont think the guy all the way in the back heard you!",False,True,False,False,False,False,False,True,False,False
"Its not like, I havent any opportunities.",True,False,False,False,False,False,False,True,False,False
"I mean, yknow, Im just waiting for the perfect guy.",False,False,False,False,True,False,False,False,True,False
"Im seeing this guy Roger, all right?",False,False,False,False,True,False,False,False,True,False
"Hes not perfect, but umm, I think maybe I should just get it over with.",False,False,False,False,True,False,False,False,True,False
"Yknow, give him my flower.",False,False,False,False,True,False,False,False,True,False
"Oh my God!! Do it!! Honey, youve waited",False,False,False,False,False,False,True,True,False,False
Yknow what? You are right?!,False,False,False,False,False,False,True,False,False,True
I mean sex does not have to be a big deal!,True,False,False,False,False,False,False,True,False,False
There shouldnt be all this rules and restrictions!,True,False,False,False,False,False,False,True,False,False
"Yknow, people should be able to sleep with who ever they want, whenever",False,False,False,False,True,False,False,False,True,False
Rachel! Im never gonna think its okay for you to cheat on your husband!,True,False,False,False,False,False,False,True,False,False
Oh what do you know? Virgin!,True,False,False,False,False,False,False,True,False,False
"Push, push!",False,False,False,False,True,False,False,False,True,False
We're here!,False,False,False,True,False,False,False,False,False,True
Where have you been?,False,False,False,False,True,False,False,False,True,False
"Long story, honey.",False,False,False,False,True,False,False,False,True,False
"All right, Carol, I need you to keep pushing. I need Excuse me, could I have this?",False,False,False,False,True,False,False,False,True,False
C'mon up.,False,False,False,False,True,False,False,False,True,False
Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,True,False,False,False,False,False,False,True,False,False
"So, I hear, you hate me!",True,False,False,False,False,False,False,True,False,False
"I, ah, I never said hate, I was very careful about that.",False,False,False,False,True,False,False,False,True,False
A little birdie told me something about you wanting to rip your arm off and throw it at me.,True,False,False,False,False,False,False,True,False,False
And you got a 'hate' from that?! Your taking a big leap there...,False,False,True,False,False,False,False,True,False,False
"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",True,False,False,False,False,False,False,True,False,False
"So, this is my idea: you and me spending some quality time together.",False,False,False,False,True,False,False,False,True,False
But what does that gonna do...,True,False,False,False,False,False,False,True,False,False
For Chandler!,True,False,False,False,False,False,False,True,False,False
"Guess what, I got an audition!",False,False,False,True,False,False,False,False,False,True
"Awww, one of my students got an audition. Im so proud.",False,False,False,True,False,False,False,False,False,True
I was wondering if you would consider coaching me for it?,False,False,False,False,True,False,False,False,True,False
You bet! Whats the part?,False,False,False,True,False,False,False,False,False,True
"Oh its great, its a role on",False,False,False,True,False,False,False,False,False,True
"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",False,False,False,False,True,False,False,False,True,False
I thought he was with you.,False,False,False,False,True,False,False,False,True,False
"He-he was with me umm, were playing a little game, yknow? Hide and seek.",False,False,False,False,True,False,False,False,True,False
"You cant ask us son, thats cheating.",False,False,False,False,True,False,False,False,True,False
"Youre right, thanks for keeping me honest dad.",False,False,False,False,True,False,False,False,True,False
"Well, he better not come by here. He cant see the bride in the wedding dress.",False,False,False,False,True,False,False,False,True,False
"As I recall when we got married, I saw the groom in the wedding dress.",False,False,False,True,False,False,False,False,False,True
"But that was after the wedding, its not bad luck then.",False,False,False,False,True,False,False,False,True,False
"Honey, it isnt good luck.",False,False,False,False,True,False,False,False,True,False
Oh my God! Monica!,False,False,False,False,False,False,True,False,False,True
"I know! Hey, hows Chandler doin?",False,False,False,False,True,False,False,False,True,False
Great. Hes doing great. Dont you worry about Chandler.,False,False,False,False,True,False,False,False,True,False
Yeah baby!,False,False,False,True,False,False,False,False,False,True
"Im really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",False,False,False,False,True,False,False,False,True,False
"So, we did okay at the strip club, right?",False,False,False,False,True,False,False,False,True,False
"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",True,False,False,False,False,False,False,True,False,False
I cant believe it! He still hasnt called.,True,False,False,False,False,False,False,True,False,False
"Who, Josh?",False,False,False,False,False,False,True,True,False,False
Its Joshua.,True,False,False,False,False,False,False,True,False,False
"What, he doesnt like Josh?",False,False,False,False,False,False,True,True,False,False
"No, I dont.",False,True,False,False,False,False,False,True,False,False
"All right, well Im gonna put my sweats back on.",False,False,False,False,True,False,False,False,True,False
Oh no!,False,False,False,False,False,False,True,True,False,False
Wait!,False,False,False,False,False,False,True,True,False,False
"Okay, yknow what, you were right, you were right.",False,False,False,False,False,True,False,True,False,False
